,in_text,matched,similarity,first_letter_match,dmtph_match,inv_lvst_dist,jw_sim,match_score
175,U.S. Department,U.S. Treasury Department,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
176,FRONTIER COMMUNICATIONS,Frontier Communications,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
177,Beta Club,BETA Club,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
178,MASSILLON Police,Massillon Police,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
179,U.S. Department of Agriculture,U.S Department of Agriculture,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
180,BOE Technology Group,Boe Technology Group,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
181,USA TODAY,USA Today,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
182,Freedom Inc.,"Freedom, Inc.",0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
183,H &amp; R Block,H&amp;R Block,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
184,SpaceX,Spacex,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
185,Air Force,AIR FORCE,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
186,MedTech,Medtech,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
187,"Avantor, Inc.",Avantor Inc.,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
188,U.S. Air Force,U.S. Army Air Force,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
189,Tri-County,Tri County,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
190,U.S. Army Corps of Engineers,U. S. Army Corps of Engineers,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
191,Marymount Teachers' College,Marymount Teachers College,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
192,West Marshall High School,West High School,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
193,African Development Bank,AFRICAN Development Bank,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
194,Fox News,FOX News,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
195,St. Joseph's Catholic Church,ST. JOSEPH'S CATHOLIC CHURCH,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
